ANIME;;;;;;
;hemen;;hor;;han;
;singulier;pluriel;singulier;pluriel;singulier;pluriel
absolutif;hau;hauek;hori;horiek;hura;haiek
ergatif;honek;hauek;horrek;horiek;hark;haiek
datif;honi;hauei;horri;horiei;hari;haiei
génitif possessif;honen;hauen;horren;horien;haren;haien
sociatif;honekin;hauekin;horrekin;horiekin;harekin;haiekin
destinatif;honentzat;hauentzat;horrentzat;horientzat;harentzat;haientzat
motivatif;honegatik;hauengatik;horregatik;horiengatik;hargatik;haiengatik
instrumental;honez;hauez;horez;horiez;harez;haiez
inessif;honengan;hauengan;horrengan;horiengan;harengan;haiengan
ablatif;honengandik;hauengandik;horrengandik;horiengandik;harengandik;haiengandik
adlatif;honengana;hauengana;horrengana;horiengana;harengana;haiengana
adlatif de terminaison;honenganaino;hauenganaino;horrenganaino;horienganaino;harenganaino;haienganaino
adlatif directionnel;honenganantz;hauenganantz;horrenganantz;horienganantz;harenganantz;haienganantz
adlatif destibatiboa;honenganako;hauenganako;horrenganako;horienganako;harenganako;haienganako
INANIME;;;;;;
absolutif;hau;hauek;hori;horiek;hura;haiek
ergatif;honek;hauek;horrek;horiek;hark;haiek
datif;honi;hauei;horri;horiei;hari;haiei
génitif possessif;honen;hauen;horren;horien;haren;haien
sociatif;honekin;hauekin;horrekin;horiekin;harekin;haiekin
destinatif;honentzat;hauentzat;horrentzat;horientzat;harentzat;haientzat
motivatif;honegatik;hauengatik;horregatik;horiengatik;hargatik;haiengatik
instrumental;honez;hauez;horrez;horiez;harez;haiez
inessif;honetan;hauetan;horretan;horietan;hartan;haietan
ablatif;honetatik;hauetatik;horretatik;horietatik;hartatik;haietatik
adlatif;honetara;hauetara;horretara;horietara;hartara;haietara
adlatif de terminaison;honetaraino;hauetaraino;horretaraino;horietaraino;hartaraino;haietaraino
adlatif directionnel;honetarantz;hauetarantz;horretarantz;horietarantz;hartarantz;haietarantz
adlatif destibatiboa;honetarako;hauetarako;horretarako;horietarako;hartarako;haietarako
genitif spatio-temporel;honetako;hauetako;horretako;horietako;hartako;haietako
partitif;honetarik;hauetarik;horretarik;horietarik;hartarik;haietarik
